"Name","mmax","Mmax","z","dL (Mpc)"
"SN2009gd","16.4","-16","0.0096,0.0096","31"
"OGLE-2014-SN-047","19.35","-20.2","0.18","900"
"OGLE16fgn","18.8","-18.8","0.072","336"
"SN2018jhf","17.68","-19.4","0.058","268"
"OGLE16euo","19.9","-18","0.07","330"
"SN2019all","17.99","-18.1293","0.037473","170.551"
"OGLE15ng","18.32","-19.4","0.079","370"
"OGLE-2013-SN-019","19.48","-18.3","0.079","370"
"OGLE-2012-SN-007","18.36","-18.7724","0.059438","274.804"
"Gaia17ain","17.94","-17.8376","0.032059","145.335"
"OGLE15vk","18.59","-18","0.05","230"
"OGLE-2015-SN-031","19.76","-19.1","0.13","630"
"OGLE-2013-SN-100","19.11","-19","0.09","420"
"OGLE-2014-SN-014","18.83","-17.6","0.043","196"
"OGLE-2013-SN-017","18.27","-18.2","0.043","196"
"OGLE-2014-SN-076","18.99","-18.4","0.068","316"
"OGLE-2014-SN-046","18.86","-17.3","0.039","178"
"OGLE-2012-SN-006","15.02","-22","0.06","280"
"OGLE-2015-SN-013","19.88","-19.1","0.14","683"
"SN2018ebx","16.93","-19","0.034","154"
"OGLE15eo","18.31","-19","0.064","297"
"OGLE15tt","18.84","-17.4","0.039","178"
"OGLE-2014-SN-071","18.69","-17.1","0.032","145"
"OGLE-2014-SN-206","18.98","-19","0.07","330"
"OGLE-2014-SN-067","16","-18.6","0.0187","83.94"
"OGLE-2014-SN-020","20.04","-17.6","0.076","355"
"SN2014cu","18.1","-17.6","0.031","140"
"OGLE15fy","19.84","-18.8","0.12","578"
"OGLE16evl","19.2","-17.3","0.044","201"
"OGLE-2014-SN-096","19.29","-17","0.04","180"
"[HFP2000] 530","","","1.45e-05","0.0641724"
"SMCSNR J00410010-7336486","","","1.45e-05","0.0641724"
"OGLE-2013-SN-137","18.98","-18.7","0.075","351"
"OGLE15xl","19.85","-19.9","0.19","955"
"OGLE-2012-SN-027","19.3","-18.3","0.072","336"
"OGLE17jcw","18.32","-17.2948","0.029761","134.69"
"SXP 1062","","","1.45e-05","0.0641724"
"OGLE15gu","17.5","-18.2","0.031","140"
"SN2019pik","19.51","-19.146","0.1184","569.63"
"SMCSNR J00511024-7322125","","","1.45e-05","0.0641724"
"IKT 6","","","1.45e-05","0.0641724"
"OGLE-2013-SN-073","19.05","-19","0.091","430"
"Gaia17bed","17.55","-18.6271","0.038473","175.23"
"ASASSN-20bn","17.1","-19.0771","0.038473","175.23"
"SMCSNR J00482124-7319316","","","1.45e-05","0.0641724"
"IKT 4","","","1.45e-05","0.0641724"
"SMCSNR J00474864-7317274","","","1.45e-05","0.0641724"
"IKT 5","","","1.45e-05","0.0641724"
"SMCSNR J00490775-7314020","","","1.45e-05","0.0641724"
"SMCSNR J00480606-7308427","","","1.45e-05","0.0641724"
"SMCSNR J00463764-7308232","","","1.45e-05","0.0641724"
"DEM S32","","","1.45e-05","0.0641724"
"[HFP2000] 414","","","1.45e-05","0.0641724"
"IKT 2","","","1.45e-05","0.0641724"
"SMCSNR J00471661-7308115","","","1.45e-05","0.0641724"
"GRB 140213A","","","1.2076","8571.29"
"SN2019rm","15.98","-19","0.02","90"
"OGLE16dco","19.1","-18.3","0.066","307"
"ASASSN-15lx","17.3","-16.4433","0.012625","56.4131"
"SMCSNR J00472858-7306015","","","1.45e-05","0.0641724"
"OGLE16erd","18.9","-17.1","0.035,0.068","159"
"OGLE-2013-SN-134","18.85","-17.4","0.039","178"
"OGLE-2014-SN-179","18.89","-19","0.07","330"
"OGLE-2013-SN-039","18.94","-19","0.08,0.09","380"
"SN2016ehv","18.14","-19","0.07","330"
"SN2019gqv","16.68","-17.7811","0.017549","78.7059"
"OGLE-2014-SN-125","18.08","-17","0.023","104"
"OGLE-2014-SN-001","19.07","-11","0.002","8.9"
"[HFP2000] 334","","","1.45e-05","0.0641724"
"SN2019owh","18.5","-18.8","0.064","297"
"SN2018bfa","16.8","-18.8","0.029","131"
"OGLE17aoc","18.2","-18.244","0.04346","198.66"
"OGLE15jy","19.35","-18","0.06","280"
"SMCSNR J00524058-7238203","","","1.45e-05","0.0641724"
"DEM S68","","","1.45e-05","0.0641724"
"SN1998cx","18.3","-16","0.02,0.02","72"
"SN2009fz","16.4","-17.9","0.0196","72"
"SN2014ca","17.3","-17.6","0.021","94.4"
"OGLE16ddi","19","-18.3","0.065","302"
"OGLE-2014-SN-016","19.4","-18","0.07","330"
"Gaia17cis","17.99","-18.3341","0.041142","187.749"
"OGLE-2015-SN-043","19.3","-19.7","0.14,0.15","683"
"SN2016foy","17.66","-17.8","0.028","127"
"OGLE-2013-SN-099","17.65","-17.8","0.028","127"
"SMCSNR J01050562-7223190","","","1.45e-05","0.0641724"
"IKT 23","","","1.45e-05","0.0641724"
"OGLE-2012-SN-048","18.37","-19","0.067","311"
"SMCSNR J00581739-7218145","","","1.45e-05","0.0641724"
"IKT 16","","","1.45e-05","0.0641724"
"SN2016eho","18.27","-19","0.07","330"
"OGLE-2014-SN-022","17.1","-18","0.024","108"
"IKT 18","","","1.45e-05","0.0641724"
"SMCSNR J00592742-7210102","","","1.45e-05","0.0641724"
"OGLE-2014-SN-122","17.57","-19.57","0.0596","275.6"
"SMCSNR J01031374-7209589","","","1.45e-05","0.0641724"
"SMCSNR J01052420-7209234","","","1.45e-05","0.0641724"
"IKT 21","","","1.45e-05","0.0641724"
"DEM S128","","","1.45e-05","0.0641724"
"MCSNR J0056-7208","","","1.45e-05","0.0641724"
"IKT 25","","","1.45e-05","0.0641724"
"SMCSNR J01053920-7203417","","","1.45e-05","0.0641724"
"SN2013B","17.2","-18.94","0.0378","172.1"
"MCSNR J0533-7202","","","1.13e-05","0.0500101"
"IKT 22","","","1.45e-05","0.0641724"
"SMCSNR J01040201-7201499","","","1.45e-05","0.0641724"
"GRB 170113A","","","1.968","15624"
"SN2019ltt","15.73","-18.76","0.0178","79.85"
"OGLE15pf","17.53","-17","0.018,0.025","80.8"
"OGLE-2014-SN-164","17.82","-19","0.052","239"
"SN2002B","20.5","-18.58","0.143,0.14,0.143","698.8"
"OGLE16eke","19.4","-18","0.06","280"
"OGLE16ekf","19.8","-17.6","0.068,0.062","316"
"OGLE15sd","19.81","-22.35","0.565","3380"
"SN2016cqz","15.2","-18.4276","0.011972","53.4689"
"ASASSN-16fv","","","0.011972","53.4689"
"SN2019com","16.7","-17.0731","0.012799","57.1981"
"SN2004ga","19.7","-18.8","0.11,0.11","526"
"OGLE-2014-SN-135","19.08","-18.2","0.063","292"
"SN2019ehn","17.3","-18","0.03","140"
"SN2010gw","17.7","-15","0.0139","40"
"SN2016hsc","15.16","-17","0.006","27"
"SMCSNR J01002326-7133226","","","1.45e-05","0.0641724"
"DEM S 108","","","1.45e-05","0.0641724"
"OGLE-2014-SN-082","18.46","-17","0.03,0.04","140"
"OGLE15qk","18.74","-18.6","0.065","302"
"AT2016cnz","17.7","-16.7825","0.017722","79.492"
"SN2003gh","15.5","-19","0.018","80.8"
"SN2016iye","18.25","-17","0.03","140"
"ASASSN-14dd","15.6","-18.8825","0.017722","79.492"
"MASTER OT J074610.09-712224.9","16.3","-18.3","0.019","85.3"
"OGLE-2015-SN-012","20.46","-19.3","0.19","955"
"OGLE-2013-SN-014","17.6","-18.5","0.037","168"
"GRB 080411A","","","1.03","7044"
"SN2018hu","19.13","-17.68","0.0513","235.8"
"SN2017jei","17.08","-20","0.058","268"
"OGLE19azb","18.37","-19.0578","0.067967","316.117"
"OGLE-2015-SN-009","19.51","-18","0.06","280"
"[HP99] 1234","","","1.13e-05","0.0500101"
"N206","","","1.13e-05","0.0500101"
"OGLE-2015-SN-029","19.26","-18","0.06","280"
"LSQ13bll","19.6","-18","0.07","330"
"LMCSNR J04494885-7051088","","","1.13e-05","0.0500101"
"B0450-709","","","1.13e-05","0.0500101"
"OGLE15xg","19.71","-17.5","0.061","282"
"OGLE-2012-SN-049","18.65","-19","0.07","330"
"SN1992U","18.2","-15.2271","0.010919,0.010919","48.7272"
"DEM L249","","","1.13e-05","0.0500101"
"ASASSN-14hp","16.5","-19.702","0.03892","177.32"
"SN2014bx","15.8","-18.6","0.017","76.2"
"OGLE16etd","17.67","-18.2","0.034","154"
"OGLE15et","17.75","-19.5","0.064","297"
"DEM L238","","","1.13e-05","0.0500101"
"Gaia18bwa","18.27","-19.1","0.066","307"
"OGLE-2012-SN-005","18.62","-19.1","0.076","355"
"OGLE15qz","19.77","-22.8","0.68","4230"
"OGLE16fml","19.7","-18.77","0.109","521.2"
"[HP99] 1139","","","1.13e-05","0.0500101"
"OGLE16fbw","19.5","-18.8","0.099","470"
"B0548-704","","","1.13e-05","0.0500101"
"LMCSNR J05072815-7023532","","","1.13e-05","0.0500101"
"SN2016iru","16.36","-19","0.027","122"
"PSN J21505094-7020289","14.5","-19.1","0.012","53.6"
"OGLE-2014-SN-058","20.05","-19.1","0.15","736"
"SN2013cz","17.9","-16.2","0.015","67.1"
"LMCSNR J05001200-7010192","","","1.13e-05","0.0500101"
"N186D","","","1.13e-05","0.0500101"
"DEM L218","","","1.13e-05","0.0500101"
"OGLE-2012-SN-037","19.56","-16.4766","0.036085","164.068"
"SN2003ma","19.65","-21","0.289,0.29,0.289","1534"
"ASASSN-14db","16.3","-19.822","0.037519","170.766"
"SN2012dk","14.89","-19.1","0.014","62.6"
"SN2019emh","17.6","-19.477","0.05795","267.64"
"OGLE-2014-SN-011","19.89","-18","0.083","390"
"B0534-699","","","1.13e-05","0.0500101"
"OGLE-2014-SN-023","18.98","-21.6","0.28","1480"
"N159","","","1.13e-05","0.0500101"
"DEM L316B","","","1.13e-05","0.0500101"
"SN2019eim","17.3","-18.9","0.039","178"
"DEM L316A","","","1.13e-05","0.0500101"
"OGLE-2014-SN-173","17.18","-18.42","0.0296","133.9"
"LMCSNR J05470058-6939391","","","1.13e-05","0.0500101"
"N120","","","1.13e-05","0.0500101"
"LMCSNR J05251244-6938582","","","1.13e-05","0.0500101"
"N132D","","","1.13e-05","0.0500101"
"ASASSN-14hu","15.6","-18.5","0.015","67.1"
"OGLE17osk","19.5","-18.97","0.109","521.2"
"LMCSNR J05190528-6936308","","","1.13e-05","0.0500101"
"LSQ15bbj","19.8","-18","0.09","420"
"OGLE-2013-SN-041","19.44","-19","0.1","480"
"SN1999ga","15.6","-15.8","0.00489","19"
"SN2015F","13.1","-18.8","0.00541","24.04"
"SN1999J","16.9","-18.9","0.033,0.033","150"
"SN2004N","17.9","-19","0.05,0.05","230"
"B0520-694","","","1.13e-05","0.0500101"
"OGLE-2013-SN-124","19.96","-18.9","0.13","630"
"SN2019tja","14.7","-18.6668","0.010621","47.3867"
"OGLE-2012-SN-040","15.95","-18.123","0.01469","65.742"
"MCSNR J0449-6920","","","1.13e-05","0.0500101"
"B0540-693","","","1.13e-05","0.0500101"
"Honeycomb","","","1.13e-05","0.0500101"
"SN2019xis","18.83","-13","0.005","22"
"SN1987A","1.9","-16.3","9.51e-06,9.78e-06,1.02e-05,1.06e-05,1.07e-05,1.11e-05,1.12e-05,1.13e-05,1.14e-05,1.15e-05,1.16e-05,1.17e-05,1.19e-05,1.22e-05","0.043"
"B0536-6914","","","1.13e-05","0.0500101"
"DEM L109","","","1.13e-05","0.0500101"
"B0528-692","","","1.13e-05","0.0500101"
"SN2013fx","17","-20","0.06","280"
"N157B","","","1.13e-05","0.0500101"
"SN2012fu","18.2","-18.9","0.059","273"
"SN2015J","15.63","-16.3","0.0054","24"
"SN1998eh","18","-18.1","0.038","173"
"SN2018dz","17.16","-18","0.02","90"
"LSQ15bbb","17.4","-18.6738","0.036702","166.949"
"OGLE-2015-SN-021","19.1","-19","0.08","380"
"[HP99] 791","","","1.13e-05","0.0500101"
"B0519-690","","","1.13e-05","0.0500101"
"SN2016eii","17.9","-18.1","0.036","164"
"SN2006bc","16","-16","0.0045","20"
"SN1996af","18.88","-19","0.1,0.1","480"
"DEM L299","","","1.13e-05","0.0500101"
"SN2016cpx","17.9","-17.5302","0.027352","123.568"
"SN2015bj","16.6","-16.884","0.011208","50.0279"
"SN2017hlx","17.58","-16.7195","0.016295","73.0131"
"OGLE-2013-SN-130","19.59","-18","0.09","420"
"SN2018bbv","17.52","-15.9336","0.011053","49.3302"
"SN2004gp","18.7","-18.7","0.067,0.067","311"
"LMCSNR J04562490-6845588","","","1.13e-05","0.0500101"
"OGLE-2013-SN-075","18.95","-19","0.08","380"
"SN2005av","15.4","-17","0.01","30"
"SN1998ew","14","-18","0.01,0.01","30"
"N103B","","","1.13e-05","0.0500101"
"Gaia19cqi","18.3","-16.537","0.02085","93.741"
"SN2009gu","15.5","-19.34","0.0209","93.97"
"MCSNR J0514-6840","","","1.13e-05","0.0500101"
"N86","","","1.13e-05","0.0500101"
"OGLE-2015-SN-090","18.2","-18.4","0.047","215"
"OGLE-2014-SN-010","18.94","-18.9","0.081","380"
"SN2019mry","18.24","-17","0.03","140"
"SN2019pia","19.02","-19.2","0.096","455"
"J0508-6830","","","1.13e-05","0.0500101"
"B0453-685","","","1.13e-05","0.0500101"
"SN2019klf","17.59","-18.5","0.037","168"
"LMCSNR J04530593-6827108","","","1.13e-05","0.0500101"
"OGLE-2015-SN-017","19.21","-19","0.09","420"
"OGLE-2013-SN-048","19.77","-17","0.06","280"
"OGLE17ory","17.25","-17","0.02","90"
"LMCSNR J05502771-6823008","","","1.13e-05","0.0500101"
"MCSNR J0550-6823","","","1.13e-05","0.0500101"
"OGLE-2015-SN-007","19.03","-18","0.06","280"
"OGLE-2013-SN-138","18.44","-20.15","0.115","552.1"
"GRB 081029A","","","3.8479","35048.6"
"OGLE16eun","20.2","-16.8","0.057","263"
"N23","","","1.13e-05","0.0500101"
"OGLE17mtb","20","-17.6","0.072","336"
"MCSNR J0517-6759","","","1.13e-05","0.0500101"
"MCSNR J0511-6759","","","1.13e-05","0.0500101"
"OGLE16cwa","20.3","-17.8","0.091","430"
"OGLE15kk","18.95","-19","0.08","380"
"OGLE-2014-SN-019","17.08","-19","0.04","180"
"N44","","","1.13e-05","0.0500101"
"DEM L71","","","1.13e-05","0.0500101"
"ASASSN-15he","16.6","-17.6433","0.015881","71.136"
"SN2019ocm","19.46","-18.2","0.076","355"
"SN2011do","14.8","-19.76","0.0184","82.58"
"SN2019llh","19.01","-18.4","0.067","311"
"OGLE-2013-SN-144","18.49","-18","0.04","180"
"SN2018jkd","17.5","-18.9","0.043","196"
"OGLE-2013-SN-079","19.81","-21.8","0.44","2510"
"SN1935C","12.5","-18.4","0.0044","15"
"SN2019lrh","17.56","-19.1","0.048","220"
"DEM L241","","","1.13e-05","0.0500101"
"OGLE18ago","18.79","-18.3502","0.059648","275.816"
"SN2019csd","16.6","-19.3106","0.034067","154.665"
"OGLE15rw","19","-18.5","0.071","331"
"B0532-675","","","1.13e-05","0.0500101"
"B0509-67.5","","","1.13e-05","0.0500101"
"SN2004gb","20.5","-19.5","0.22,0.22","1130"
"AT2016cbw","17.5","-17.6213","0.023746","106.992"
"OGLE-2013-SN-109","19.22","-18.8","0.088","415"
"DEM L205","","","1.13e-05","0.0500101"
"OGLE-2013-SN-046","19.66","-18","0.07","330"
"SN2008ag","16.9","-17.19","0.0148","66.24"
"OGLE16dak","18.8","-18.4","0.062","287"
"OGLE-2013-SN-018","18.98","-18.4","0.067","311"
"OGLE-2013-SN-005","19.68","-18","0.07","330"
"LMCSNR J05100248-6713532","","","1.13e-05","0.0500101"
"B0528-6716","","","1.13e-05","0.0500101"
"N9","","","1.13e-05","0.0500101"
"SN2018fvi","16.7","-19.5853","0.040421","184.362"
"SN2008cc","14.6","-18.72","0.0104","46.39"
"[HP99] 483","","","1.13e-05","0.0500101"
"OGLE-2014-SN-139","18.68","-18.7","0.066","307"
"OGLE-2013-SN-038","17.97","-18.6","0.045","206"
"SN2009dq","14.5","-16.5","0.0046,0.0047","16"
"OGLE-2015-SN-014","19.98","-17.3","0.064","297"
"LMCSNR J05293815-6700046","","","1.13e-05","0.0500101"
"[HP99] 460","","","1.13e-05","0.0500101"
"[HP99] 456","","","1.13e-05","0.0500101"
"N4","","","1.13e-05","0.0500101"
"DEM L214","","","1.13e-05","0.0500101"
"SN2016hhd","18.6","-18.4","0.056","258"
"OGLE-2013-SN-118","19.01","-18","0.07","330"
"AT2017ewu","17.7","-17.2603","0.022059","99.2662"
"OGLE-2014-SN-021","17.92","-18.3","0.039","178"
"OGLE16dpg","19.8","-18.2","0.087","410"
"SN2014cj","17","-18","0.02","90"
"Gaia18bws","18.86","-16.6737","0.028677","129.681"
"SN2018hkx","16.68","-18.6","0.025","113"
"OGLE-2013-SN-147","19","-19.3","0.099","470"
"OGLE-2015-SN-035","18.28","-18","0.041","187"
"SN2017enx","13.9","-18.364","0.006398","28.454"
"SN1978K","16","-12.1","0.001568","4.1"
"SN1962M","11.4","-16.7","0.0016","4.1"
"GRB 111107A","","","2.893","24927"
"SN2006bh","14.38","-18.8","0.010493,0.010847,0.010493","44"
"SN2009iu","14.75","-18.5","0.0108","44"
"DEM L256","","","1.13e-05","0.0500101"
"OGLE-2015-SN-005","18.99","-18.2","0.061","282"
"OGLE16bsy","19.8","-19.31","0.145","709.5"
"SN2004fv","14.8","-18.5","0.014","46"
"OGLE-2013-SN-051","18.73","-19","0.07","330"
"SN2019brq","17.6","-18.6648","0.040044","182.593"
"N11L","","","1.13e-05","0.0500101"
"DEM L175a","","","1.13e-05","0.0500101"
"SN2019rwq","17.6","-17.68","0.0255","115"
"Gaia17cgu","16.49","-16.8791","0.010632","47.4362"
"OGLE15xx","18.52","-21.4","0.21","1070"
"OGLE-2013-SN-070","17.89","-18.5","0.043","196"
"OGLE-2013-SN-129","19.08","-19","0.08","380"
"OGLE15lg","19.24","-18","0.07","330"
"ASASSN-15ps","17.16","-19","0.04","180"
"SN2018ddb","16.6","-19","0.029","131"
"OGLE-2013-SN-043","20.27","-18.8","0.14","683"
"OGLE-2012-SN-032","18.73","-18.5","0.063","292"
"OGLE17aki","18.3","-17.098","0.026952","121.725"
"OGLE-2013-SN-009","18.67","-18","0.06","280"
"PSN J17285509-6609103","17.6","-16.9","0.018","80.8"
"OGLE16exz","20","-17","0.055","253"
"N49","","","1.13e-05","0.0500101"
"LMCSNR J05353611-6602313","","","1.13e-05","0.0500101"
"N63A","","","1.13e-05","0.0500101"
"OGLE-2014-SN-018","18.24","-17.2","0.027","122"
"N49B","","","1.13e-05","0.0500101"
"LMCSNR J05254301-6559013","","","1.13e-05","0.0500101"
"SN2009ge","16.1","-18.21","0.0164","73.49"
"OGLE16esg","20.1","-19.05","0.148","725.5"
"LMCSNR J05274071-6549458","","","1.13e-05","0.0500101"
"DEM L204","","","1.13e-05","0.0500101"
"SN2001cn","14.8","-19","0.0155,0.0137","57"
"SN2016jfy","18.3","-17.6","0.034","154"
"OGLE-2013-SN-112","19","-19.1","0.093","440"
"OGLE-2013-SN-015","19.38","-19","0.09","420"
"DEM L142","","","1.13e-05","0.0500101"
"LMCSNR J05212701-6541508","","","1.13e-05","0.0500101"
"DEM L72","","","1.13e-05","0.0500101"
"OGLE-2013-SN-012","19.07","-18.8","0.083","390"
"Gaia18bjv","17.93","-18.0381","0.034974","158.888"
"SN2019gak","17.56","-19","0.045","206"
"ASASSN-14mw","16.41","-19.0245","0.027406","123.817"
"SN1991E","19","-16.1","0.024","108"
"SN2015ak","14.62","-24","0.1","480"
"OGLE-2014-SN-004","16.4","-19","0.03","140"
"SN2005cm","16.8","-17.5","0.018","74"
"SN2018aad","16.34","-17","0.01","45"
"LMCSNR J05211691-6528381","","","1.13e-05","0.0500101"
"ASASSN-15hz","16.7","-19.1","0.033","150"
"OGLE-2012-SN-050","18.19","-19.7","0.082","385"
"OGLE-2013-SN-032","19.26","-19","0.09","420"
"SN1996cr","16.6","-11.5","0.001449","4.2"
"SN2018hcq","17","-19.0003","0.035491","161.298"
"SN2013gi","17.9","-17.74","0.0301","136.3"
"SN2016emx","17.81","-19","0.05","230"
"OGLE-2013-SN-120","18.82","-19","0.08","380"
"OGLE-2015-SN-020","19.45","-18.3","0.077","360"
"OGLE16dft","20.1","-18.78","0.131","635.4"
"SN2017diw","18.86","-19","0.07","330"
"OGLE-2013-SN-001","18.83","-19","0.09","420"
"ASASSN-15uq","16.2","-18.8","0.022","99"
"AT2004iu","14.8","-16.17","0.00353","15.66"
"SN2016iqx","16.7","-18.9475","0.030208","136.758"
"SN2012gp","16.7","-20.16","0.0526","242"
"OGLE16dwy","19.9","-17.7","0.074","346"
"SN2013ay","15.1","-19.1222","0.015728","70.4426"
"SN2019omo","17.5","-18.37","0.0335","152"
"SN2012hb","17.5","-14.5","0.0056","24.9"
"SN2008fa","16.8","-17.38","0.0154","68.96"
"OGLE-2013-SN-136","19.24","-19","0.08","380"
"SN2011cb","16.27","-16.5","0.0079","35.2"
"OGLE-2014-SN-107","18.12","-19.3","0.067,0.066","311"
"OGLE-2013-SN-153","18.75","-18.5","0.064","297"
"OGLE15om","19.5","-19","0.1","480"
"OGLE-2013-SN-002","18.52","-19.04","0.0722","336.8"
"OGLE16fsn","19.6","-18","0.075","351"
"OGLE16bqx","19.4","-19.1","0.11","526"
"OGLE17ojj","19.9","-17.5","0.068","316"
"OGLE-2014-SN-204","19.59","-19","0.1","480"
"OGLE16ahz","19.24","-19.3","0.11","526"
"OGLE-2013-SN-057","19.4","-19","0.1","480"
"SN2018cuf","16.82","-16.5903","0.010835","48.3493"
"OGLE15xs","19.29","-18","0.065","302"
"OGLE16dwh","20.6","-18.33","0.134,0.144","651.1"
"SN2018aau","17.4","-19","0.043","196"
"OGLE-2013-SN-047","18.35","-19","0.06","280"
"SN2017jan","19.2","-22.16","0.396","2213"
"OGLE-2014-SN-210","19.41","-18","0.08","380"
"SN2018gkj","17.4","-18.9471","0.041575","189.784"
"PSN J08384182-6420485","15.9","-16","0.006","27"
"SNhunt174","","","0.006","27"
"SN1992ba","14","-16.7","0.00395,0.00415","14"
"SN1993M","18.5","-20","0.09","420"
"OGLE-2013-SN-045","20.03","-18","0.1","480"
"SN2001bd","22.6","-15.6","0.096,0.096","455"
"SN2011fn","17.9","-15.68","0.0117","52.24"
"SN2019pcr","18","-16.621","0.018883","84.7733"
"OGLE16ead","19.5","-18.2","0.076","355"
"OGLE-2013-SN-011","18.83","-18","0.05","230"
"GRB 110818A","","","3.36","29820"
"SN2008bc","15.43","-18.7893","0.015707,0.015707","70.3475"
"SN2017cyy","15.21","-17.977","0.009777","43.593"
"OGLE-2013-SN-091","18.51","-19","0.08","380"
"OGLE15xc","20.34","-17.5","0.083","390"
"SN1983Y","18","-13.8","0.01","23"
"SN2009hm","14.7","-17.1","0.0103","23"
"SN2019qar","17.5","-15.8093","0.010344","46.1412"
"SN2017his","16.75","-19.1","0.033","150"
"OGLE-2014-SN-002","19.53","-19","0.1","480"
"SN1998cq","19.87","-19.3","0.15,0.15,0.15","736"
"OGLE-2013-SN-040","19.25","-19","0.09","420"
"SN2005at","14.3","-15","0.0028","7.3"
"SN1998du","20.17","-17.5","0.076,0.076,0.076","355"
"OGLE16fix","18.5","-19.4","0.083","390"
"OGLE-2013-SN-050","19","-19.9","0.13","630"
"SN1996bm","20.51","-18.87","0.164","811.9"
"OGLE-2013-SN-126","18.56","-19","0.06","280"
"SN2017ixh","17","-16.4","0.011","49.1"
"SN2009bu","16.4","-16.5","0.0117","39"
"SN2007bn","17","-15.9","0.012","39"
"SN2019lpp","18.4","-19","0.08","380"
"SN2014cq","16.8","-16.6","0.011","49.1"
"SN2018fhw","16.64","-17.8","0.017","76.2"
"SN2006aw","14.9","-18","0.016","40"
"OGLE-2012-SN-051","19.73","-18.82","0.113","541.7"
"OGLE-2013-SN-123","18.32","-19","0.07","330"
"OGLE18go","19.09","-16.8135","0.033957","154.153"
"SN2016guu","18.31","-19","0.07","330"
"GRB 071117A","","","1.331","9664.2"
"OGLE-2015-SN-030","20.05","-19.4","0.17","845"
"SN2016aue","16.3","-17.1684","0.011128","49.6678"
"ASASSN-16cu","","","0.011128","49.6678"
"SN2018agj","16.94","-19.4","0.042","192"
"SN2017hbj","16","-18.737","0.019914","89.4706"
"SN2005br","16.4","-17.3","0.0103","56"
"OGLE-2013-SN-156","20.25","-18.14","0.105","500.8"
"OGLE-2014-SN-051","19.9","-19.4","0.16","790"
"GRB 150206A","","","2.087","16784"
"SN2004ac","16.8","-17","0.015","50"
"ASASSN-14ky","16.2","-19.0702","0.025421","114.681"
"GRB 131105A","","","1.686","12928"
"OGLE16dee","19.5","-19.35","0.129,0.165","624.9"
"OGLE18act","19.22","-18.5","0.078","365"
"SN2009lq","17.75","-18.74","0.0443","202.6"
"SN1992O","17.8","-18.3","0.037","168"
